Date,Alternatives - Global Macro,Alternative - Liquid Alts,Alternatives - Hedge Funds,Cash,Commodities - Commodities ex Precious Metals,Commodities - Gold,Equity - Asia ex Japan (USD),Equity - EU (USD),Equity - Japan (USD),Equity - China A (USD),Equity - US Large Cap,Equity - US Large Cap Growth,Equity - US Large Cap Value,Equity - US Small Cap,Equity - Global ex US (USD),Equity - EM (USD),Fixed Income -Mortgage-Backed Assets,Fixed Income - US High Yield,Fixed Income - US Investment Grade,Fixed Income - EM (USD),Fixed Income - US Treasury,Fixed Income - EUR Treasury,Fixed Income - EM Local CCY (USD Hedge),Fixed Income - GBP Gilts,Finxed Income - CAD,Fixed Income - AUD,Fixed Income - JPY,Fixed Income - MUST DELETE,Equity - Preferred Stock,Equity - REIT,Fixed Income - Aggregate,Fixed Income - Short Duration,Fixed Income - Sovereign & Agency,Fixed Income - Municipals,Equity - Emerging Markets,Fixed Income - China Treasury
2015-04,,-0.24591,,0.00382,7.01573,-0.06548,7.24184,4.4844,3.37435,,0.95932,1.06473,1.87006,-1.82302,5.05191,6.83906,0.04184,1.20664,0.16786,1.62055,-0.49508,0.32536,1.4362,-2.29458,-1.40271,-1.52517,0.32834,1.56108,-0.02853,-1.51657,1.06348,0.07575,-0.15236,-0.52467,10.24086,1.28467
2015-05,,0.44324,,0.00153,-3.41821,0.53956,-2.60423,-0.94946,4.95953,,1.28593,1.50889,0.95208,2.14418,-1.56154,1.8289,-0.0229,0.30355,-0.21617,-0.50894,-0.16253,-0.38677,-2.48661,0.46146,0.16404,-0.114,-0.47277,0.19786,0.27217,-1.4103,-1.78791,0.08863,-0.17569,-0.27626,-3.64162,0.59637
2015-06,,-1.44372,,0.00765,2.61704,-1.51183,-3.6363,-2.85212,-3.08744,,-1.93581,-1.83277,-1.74566,-0.04703,-2.78968,-1.89281,-0.76259,-1.4886,-1.34724,-1.77262,-0.84606,-1.98174,-2.45495,-1.93054,-0.56422,-1.19765,-0.05471,0.43233,-1.08293,-3.87876,-0.43799,-0.01819,-1.05456,-0.09112,-3.023,0.38955
2015-07,,0.34261,,-0.00994,-11.37739,-6.7273,-6.29404,2.92694,1.74299,,2.09512,4.15892,0.69447,1.23132,-0.27808,-3.99062,0.63018,-0.5823,0.53873,0.40799,0.80204,0.77863,-0.65098,1.73315,1.49778,1.50899,0.29035,0.78403,1.42718,3.46906,0.22405,0.06176,0.44823,0.72433,-7.30182,0.76429
2015-08,,-2.01262,,0.013,-1.49948,3.42279,-9.7903,-7.1319,-8.00992,,-6.03338,-6.18095,-6.49674,-7.09686,-7.6435,-4.38086,0.08426,-1.74202,-0.6749,-1.01232,0.04452,-0.69064,-0.17534,0.30421,-1.0287,0.79797,0.16745,0.93602,-0.55024,-5.89145,0.11636,-0.05454,-0.3836,0.19637,-10.06055,-1.96157
2015-09,,-1.04066,,0.02829,-3.83757,-1.52306,-1.7399,-4.67826,-7.94485,,-2.47435,-1.88929,-2.87571,-5.56369,-4.63639,-2.51952,0.58478,-2.6021,-0.10568,-1.37958,0.85267,-2.18014,3.96767,1.28948,-0.25173,0.33048,0.32046,0.34805,-0.85859,1.23811,0.50964,0.28435,-0.12073,0.7244,-3.29445,0.89707
2015-10,,1.32733,,0.00153,-1.24382,2.35009,7.96126,7.56163,10.86102,,8.43541,9.56558,8.18791,5.03693,7.4443,3.60388,0.06609,2.74911,0.84666,2.96882,-0.34719,2.72696,8.70317,-1.20049,-0.25654,0.28347,0.39047,1.20376,2.30729,5.72635,0.21122,-0.01814,0.41496,0.39758,6.97558,1.87972
2015-11,,-0.11512,,0.00306,-7.19567,-6.72614,-3.37734,-1.68132,1.1325,,0.29739,0.30628,0.41965,2.11548,-2.06431,-0.42854,-0.13586,-2.22285,-0.35262,-0.03424,-0.39744,0.60245,-1.30447,0.98947,0.05427,-1.20411,-0.02046,0.11558,0.66362,-2.16786,-1.65563,-0.17809,-0.22827,0.39759,-4.09627,-1.11162
2015-12,0.54173,-2.26079,,0.0214,-3.54163,-0.45672,-0.42237,-3.08039,-2.04104,,-1.57719,-1.15112,-1.73579,-3.39767,-1.8835,-1.7153,-0.03267,-2.51862,-0.54169,-1.4561,-0.17176,-1.78348,4.66284,-1.16592,1.20473,0.41667,0.62612,1.63327,0.30558,0.93316,0.53154,-0.12962,-0.55947,0.70255,-1.85973,0.22975
2016-01,1.78607,-1.7431,,0.00841,-3.0091,5.28859,-7.63642,-6.45371,-7.52043,,-4.96242,-4.80114,-5.01412,-10.95369,-6.80234,-4.65126,1.29774,-1.6071,0.63335,-0.0049,2.07597,-0.13019,1.17137,3.91291,0.37608,1.45917,1.30445,0.24671,-0.94601,-4.25443,0.86659,0.51675,1.31897,1.19319,-7.71555,-1.0514
